sum,b,d,z,j,g,level,mora,1,2,3,4,5,6,7
0,0,0,0,0,0,1,2,me,ra,,,,,
0,0,0,0,0,0,2,3,me,ra,mi,,,,
1,0,0,1,0,0,3,5,me,ra,zo,H,ma,,
1,0,0,0,0,1,4,6,me,ra,ga,i,ya,H,
1,0,0,0,0,1,1,2,gi,ra,,,,,
2,1,0,0,0,1,2,4,be,gi,ra,ma,,,
3,1,0,0,0,2,3,5,be,gi,ra,go,N,,
3,0,1,0,0,2,4,6,gi,ra,gu,re,i,do,
0,0,0,0,0,0,1,2,i,o,,,,,
0,0,0,0,0,0,2,3,i,o,ra,,,,
1,0,0,1,0,0,3,5,i,o,na,zu,N,,
2,0,1,0,0,1,4,6,i,o,gu,ra,n,de,
1,0,1,0,0,0,1,2,hya,do,,,,,
1,0,1,0,0,0,2,4,hya,da,ru,ko,,,
1,0,1,0,0,0,3,4,hya,da,i,N,,,
1,0,1,0,0,0,4,3,ma,hya,do,,,,
2,0,2,0,0,0,5,5,ma,hya,de,do,su,,
2,1,0,0,0,1,1,2,ba,gi,,,,,
2,1,0,0,0,1,2,3,ba,gi,ma,,,,
2,1,0,0,0,1,3,5,ba,gi,ku,ro,su,,
2,1,0,0,0,1,4,5,ba,gi,mu,H,cho,,
1,0,1,0,0,0,1,5,ra,i,de,i,N,,
3,0,1,0,0,2,2,5,gi,ga,de,i,N,,
3,0,1,0,1,1,3,5,ji,go,de,i,N,,
1,0,1,0,0,0,1,3,do,ru,ma,,,,
1,0,1,0,0,0,2,4,do,ru,ku,ma,,,
1,0,1,0,0,0,3,5,do,ru,mo,H,a,,
2,0,2,0,0,0,4,5,do,ru,ma,do,N,,
2,1,0,0,1,0,1,4,ji,ba,ri,a,,,
2,1,0,0,1,0,2,4,ji,ba,ri,ka,,,
2,1,0,0,1,0,3,5,ji,ba,ri,H,na,,
3,2,0,0,1,0,4,5,ji,ba,ru,N,ba,,
2,1,0,1,0,0,1,2,za,ba,,,,,
2,1,0,1,0,0,2,3,za,ba,ra,,,,
2,1,0,1,0,0,3,5,za,ba,ra,H,N,,
2,1,0,1,0,0,4,6,za,ba,to,ro,H,mu,
1,1,0,0,0,0,1,3,be,ta,N,,,,
2,1,1,0,0,0,2,5,be,ta,do,ro,N,,
1,1,0,0,0,0,3,5,be,ta,ro,o,ru,,
2,2,0,0,0,0,4,6,be,ta,ra,N,bu,ru,
1,0,0,1,0,0,1,2,za,ki,,,,,
1,0,0,1,0,0,2,3,za,ra,ki,,,,
1,0,0,1,0,0,3,5,za,ra,ki,H,ma,,
1,0,0,0,0,1,1,4,me,ga,n,te,,,
2,0,0,0,0,2,2,4,gi,ga,n,te,,,
0,0,0,0,0,0,1,4,ra,ri,ho,H,,,
0,0,0,0,0,0,2,5,ra,ri,ho,H,ma,,
1,0,1,0,0,0,1,4,me,da,pa,ni,,,
1,0,1,0,0,0,2,6,me,da,pa,ni,H,ma,
1,0,1,0,0,0,3,5,me,da,pa,H,nya,,
0,0,0,0,0,0,1,3,ru,ka,ni,,,,
0,0,0,0,0,0,2,4,ru,ka,na,N,,,
1,1,0,0,0,0,1,3,bo,e,mi,,,,
1,1,0,0,0,0,2,4,bo,mi,o,su,,,
0,0,0,0,0,0,1,3,su,ka,ra,,,,
0,0,0,0,0,0,2,4,su,ku,ru,to,,,
0,0,0,0,0,0,1,3,pi,o,ra,,,,
0,0,0,0,0,0,2,4,pi,o,ri,mu,,,
0,0,0,0,0,0,3,5,pi,o,ri,H,ma,,
1,1,0,0,0,0,1,5,ba,i,ki,ru,to,,
1,1,0,0,0,0,2,5,ba,i,si,o,N,,
0,0,0,0,0,0,1,3,i,n,te,,,,
0,0,0,0,0,0,2,4,i,n,te,ra,,,
1,1,0,0,0,0,1,3,ba,H,ha,,,,
1,1,0,0,0,0,2,4,hu,ba,H,ha,,,
0,0,0,0,0,0,1,3,ho,i,mi,,,,
1,1,0,0,0,0,2,4,be,ho,i,mi,,,
1,1,0,0,0,0,3,4,be,ho,i,mu,,,
1,1,0,0,0,0,4,4,be,ho,i,ma,,,
1,1,0,0,0,0,5,3,be,ho,ma,,,,
1,1,0,0,0,0,6,5,be,ho,ma,ra,H,,
2,1,0,1,0,0,7,5,be,ho,ma,zu,N,,
